date,days,mag
2444132.44,1101,8.61
2444132.8,1102,8.6
2444136.7,1103,9.1
2444137.428,1104,8.58
2444139.3,1105,8.2
2444139.412,1106,9.04
2444140.354,1107,8.98
2444143.3,1108,8
2444145.402,1109,8.37
2444146.361,1110,8.61
2444148.4,1111,8.61
2444149.7,1112,9.1
2444152.3,1113,8.1
2444152.354,1114,8.41
2444152.394,1115,8.55
2444158.375,1116,8.58
2444161.368,1117,8.41
2444161.373,1118,8.61
2444163.501,1119,8.64
2444164.3,1120,8.2
2444165.385,1121,8.58
2444167.3,1122,8.2
2444167.33,1123,8.61
2444168.354,1124,8.55
2444169.6,1125,9.2
2444174.329,1126,8.58
2444176.3,1127,8.2
2444178.354,1128,8.88
2444180.3,1129,8.2
2444184.7,1130,9
2444185.46,1131,8.19
2444187.2,1132,8.1
2444189.368,1133,8.17
2444190.422,1134,8.26
2444192.3,1135,8.1
2444195.6,1136,9
2444196.399,1137,8.09
2444197.333,1138,8.88
2444199.26,1139,9.04
2444200.3,1140,8.1
2444201.475,1141,8.23
2444205.481,1142,7.85
2444212.3,1143,8.2
2444216.6,1144,9.1
2444217.7,1145,8.3
2444219.2,1146,8.2
2444219.346,1147,8.32
2444222.5,1148,8.9
2444223.474,1149,8.32
2444227.2,1150,8.2
2444229.301,1151,8.31
2444238.8,1152,8.6
2444240.389,1153,8.41
2444243.338,1154,8.36
2444244.4,1155,8.9
2444245.6,1156,8.9
2444246.367,1157,8.42
2444251.324,1158,8.52
2444252.372,1159,8.61
2444254.351,1160,8.5
2444256.442,1161,8.96
2444259.336,1162,8.42
2444260.3,1163,8.2
2444262.6,1164,9
2444263.403,1165,8.69
2444267.2,1166,8.2
2444271.6,1167,9.1
2444280.3,1168,8.3
2444280.351,1169,8.64
2444285.396,1170,8.86
2444286.361,1171,9.01
2444288.3,1172,8.2
2444291.6,1173,9
2444292.382,1174,9.04
2444293.3,1175,8.3
2444295.412,1176,8.81
2444299.4,1177,9.1
2444302.347,1178,8.61
2444308.318,1179,8.64
2444308.422,1180,9.04
2444310.3,1181,8.6
2444312.321,1182,8.64
2444316.358,1183,8.64
2444319.6,1184,9
2444321.325,1185,8.61
2444321.375,1186,8.88
2444326.335,1187,8.65
2444331.6,1188,9.1
2444332.389,1189,8.86
2444332.5,1190,9.3
2444334.375,1191,8.71
2444337.427,1192,8.66
2444348.385,1193,9.34
2444349.451,1194,8.75
2444363.41,1195,8.71
2444375.5,1196,9
2444376.431,1197,8.81
2444407.7,1198,9
2444420.51,1199,8.66
2444420.7,1200,9
2444431.538,1201,8.66
2444433.8,1202,9.2
2444435.434,1203,8.66
2444435.5,1204,9.2
2444443.566,1205,8.66
2444444.6,1206,8.6
2444445.579,1207,8.58
2444453.438,1208,8.75
2444453.556,1209,8.73
2444455.8,1210,9.1
2444460.486,1211,8.66
2444466.4,1212,8.6
2444467.455,1213,8.98
2444467.7,1214,8.8
2444468.4,1215,8.6
2444468.521,1216,8.61
2444471.585,1217,8.58
2444472.4,1218,8.6
2444480.4,1219,8.7
2444482.635,1220,8.64
2444483.449,1221,8.96
2444483.7,1222,9
2444484.7,1223,9.2
2444485.365,1224,8.41
2444487.4,1225,9
2444488.472,1226,8.75
2444488.6,1227,9.3
2444490.472,1228,8.61
2444491.378,1229,8.28
2444493.449,1230,8.66
2444495.428,1231,8.96
2444498.3,1232,8.4
2444501.386,1233,8.62
2444504.399,1234,8.86
2444504.669,1235,8.64
2444507.465,1236,8.41
2444513.392,1237,8.5
2444513.537,1238,7.85
2444514.484,1239,8.89
2444514.7,1240,9.1
2444515.3,1241,8.4
2444516.385,1242,8.55
